UBIGEO;REGION_NATURAL;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_URBANA;GENERACION_MUN_TANIO;PERIODO;CLASIFICACION_MUNICIPAL_MEF;SUMA_RESIDUOS
150103;CALLAO;LIMA;LIMA;ATE;702815;252862.8;2022;C;1807607.51
150103;CALLAO;LIMA ;LIMA;ATE;687615;247394.05;2021;C;1807607.51
150103;COSTA;LIMA;LIMA;ATE;670818;241350.73;2020;C;1807607.51
150103;COSTA;LIMA ;LIMA;ATE;652900;234904.09;2019;C;1807607.51
150103;COSTA;LIMA;LIMA;ATE;640087;207598.38;2018;;1807607.51
150103;COSTA;LIMA;LIMA;ATE;661786;14705.5;2017;;1807607.51
150103;COSTA;LIMA;LIMA;ATE;645803;209452.36;2016;;1807607.51
150103;COSTA;LIMA;LIMA;ATE;630086;216839.6;2015;;1807607.51
150103;COSTA;LIMA;LIMA;ATE;611082;182500.0;2014;;1807607.51
70101;CALLAO;CALLAO;CALLAO;CALLAO;528405;176336.3;2022;A;1258663.81
70101;CALLAO;CALLAO;CALLAO;CALLAO;520709;200919.29;2021;A;1258663.81
70101;COSTA;CALLAO;CALLAO;CALLAO;512386;141601.53;2020;A;1258663.81
70101;COSTA;CALLAO;CALLAO;CALLAO;503234;139072.31;2019;A;1258663.81
70101;COSTA;CALLAO;CALLAO;CALLAO;485665;146879.08;2018;;1258663.81
70101;COSTA;CALLAO;CALLAO;CALLAO;406686;188.36;2017;;1258663.81
70101;COSTA;CALLAO;CALLAO;CALLAO;406760;124285.11;2016;;1258663.81
70101;COSTA;CALLAO;CALLAO;CALLAO;406889;150636.12;2015;;1258663.81
70101;COSTA;CALLAO;CALLAO;CALLAO;410640;178745.71;2014;;1258663.81
150110;CALLAO;LIMA;LIMA;COMAS;586914;238706.31;2022;C;1441483.79
150110;CALLAO;LIMA ;LIMA;COMAS;581036;236315.64;2021;C;1441483.79
150110;COSTA;LIMA;LIMA;COMAS;573884;155604.55;2020;C;1441483.79
150110;COSTA;LIMA ;LIMA;COMAS;566314;153552.0;2019;C;1441483.79
150110;COSTA;LIMA;LIMA;COMAS;559866;167859.69;2018;;1441483.79
150110;COSTA;LIMA;LIMA;COMAS;537263;12406.33;2017;;1441483.79
150110;COSTA;LIMA;LIMA;COMAS;531027;159213.27;2016;;1441483.79
150110;COSTA;LIMA;LIMA;COMAS;524894;160063.0;2015;;1441483.79
150110;COSTA;LIMA;LIMA;COMAS;522760;157763.0;2014;;1441483.79
150117;CALLAO;LIMA;LIMA;LOS OLIVOS;358910;149716.74;2022;C;1046661.47
150117;CALLAO;LIMA ;LIMA;LOS OLIVOS;355528;124206.25;2021;C;1046661.47
150117;COSTA;LIMA;LIMA;LOS OLIVOS;351983;124803.12;2020;C;1046661.47
150117;COSTA;LIMA ;LIMA;LOS OLIVOS;349100;123780.89;2019;C;1046661.47
150117;COSTA;LIMA;LIMA;LOS OLIVOS;346064;117291.06;2018;;1046661.47
150117;COSTA;LIMA;LIMA;LOS OLIVOS;384711;14070.85;2017;;1046661.47
150117;COSTA;LIMA;LIMA;LOS OLIVOS;377915;145821.2;2016;;1046661.47
150117;COSTA;LIMA;LIMA;LOS OLIVOS;371229;143241.36;2015;;1046661.47
150117;COSTA;LIMA;LIMA;LOS OLIVOS;365921;103730.0;2014;;1046661.47
150132;CALLAO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1225092;389666.76;2022;C;2773456.39
150132;CALLAO;LIMA ;LIMA;SAN JUAN DE LURIGANCHO;1203125;382679.69;2021;C;2773456.39
150132;COSTA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1177629;380710.63;2020;C;2773456.39
150132;COSTA;LIMA ;LIMA;SAN JUAN DE LURIGANCHO;1152258;372508.55;2019;C;2773456.39
150132;COSTA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1136931;351547.07;2018;;2773456.39
150132;COSTA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1138453;18286.37;2017;;2773456.39
150132;COSTA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1114686;310957.58;2016;;2773456.39
150132;COSTA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1091303;307279.74;2015;;2773456.39
150132;COSTA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1069566;259820.0;2014;;2773456.39
150133;CALLAO;LIMA;LIMA;SAN JUAN DE MIRAFLORES;422197;140893.17;2022;C;1346818.16
150133;CALLAO;LIMA ;LIMA;SAN JUAN DE MIRAFLORES;417800;139425.83;2021;C;1346818.16
